Species,Trap,Latitude,Longitude,WnvPresent,AvgSpeed,Cool,Day_of_year,Depart,Heat,PrecipTotal,ResultDir,ResultSpeed,SeaLevel,StnPressure,Tavg,Tmax,Tmin
0,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
1,CULEX RESTUANS,T002,41.95469,-87.800991,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
2,CULEX RESTUANS,T007,41.994991,-87.769279,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
3,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
4,CULEX RESTUANS,T015,41.974089,-87.824812,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
5,CULEX RESTUANS,T045,41.9216,-87.666455,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
6,CULEX RESTUANS,T046,41.891118,-87.654491,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
7,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
8,CULEX RESTUANS,T048,41.867108,-87.654224,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
9,CULEX RESTUANS,T049,41.896282,-87.655232,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
10,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
11,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
12,CULEX RESTUANS,T054,41.921965,-87.632085,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
13,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
14,CULEX RESTUANS,T086,41.688324,-87.676709,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
15,CULEX RESTUANS,T091,41.862292,-87.64886,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
16,CULEX RESTUANS,T094,41.720848,-87.666014,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
17,CULEX RESTUANS,T096,41.731922,-87.677512,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
18,CULEX PIPIENS,T096,41.731922,-87.677512,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
19,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
20,CULEX RESTUANS,T129,41.891126,-87.61156,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
21,CULEX PIPIENS/RESTUANS,T143,41.999129,-87.795585,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
22,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.687769,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
23,CULEX RESTUANS,T153,41.907645,-87.760886,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
24,CULEX RESTUANS,T159,41.732984,-87.649642,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60
25,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
26,CULEX RESTUANS,T002,41.95469,-87.800991,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
27,CULEX PIPIENS,T002,41.95469,-87.800991,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
28,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
29,CULEX RESTUANS,T015,41.974089,-87.824812,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
30,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
31,CULEX RESTUANS,T045,41.9216,-87.666455,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
32,CULEX PIPIENS,T045,41.9216,-87.666455,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
33,CULEX RESTUANS,T046,41.891118,-87.654491,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
34,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
35,CULEX RESTUANS,T048,41.867108,-87.654224,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
36,CULEX PIPIENS,T048,41.867108,-87.654224,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
37,CULEX RESTUANS,T049,41.896282,-87.655232,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
38,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
39,CULEX RESTUANS,T050,41.919343,-87.694259,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
40,CULEX RESTUANS,T054,41.921965,-87.632085,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
41,CULEX RESTUANS,T086,41.688324,-87.676709,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
42,CULEX PIPIENS/RESTUANS,T094,41.720848,-87.666014,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
43,CULEX PIPIENS/RESTUANS,T096,41.731922,-87.677512,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
44,CULEX RESTUANS,T096,41.731922,-87.677512,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
45,CULEX PIPIENS,T096,41.731922,-87.677512,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
