Species,Trap,Latitude,Longitude,WnvPresent,AvgSpeed,Cool,Day_of_year,Depart,Heat,PrecipTotal,ResultDir,ResultSpeed,SeaLevel,StnPressure,Tavg,Tmax,Tmin,Pred
0,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
1,CULEX RESTUANS,T002,41.95469,-87.800991,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
2,CULEX RESTUANS,T007,41.994991,-87.769279,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
3,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
4,CULEX RESTUANS,T015,41.974089,-87.824812,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
5,CULEX RESTUANS,T045,41.9216,-87.666455,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
6,CULEX RESTUANS,T046,41.891118,-87.654491,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
7,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
8,CULEX RESTUANS,T048,41.867108,-87.654224,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
9,CULEX RESTUANS,T049,41.896282,-87.655232,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
10,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
11,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
12,CULEX RESTUANS,T054,41.921965,-87.632085,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
13,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
14,CULEX RESTUANS,T086,41.688324,-87.676709,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
15,CULEX RESTUANS,T091,41.862292,-87.64886,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
16,CULEX RESTUANS,T094,41.720848,-87.666014,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
17,CULEX RESTUANS,T096,41.731922,-87.677512,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
18,CULEX PIPIENS,T096,41.731922,-87.677512,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
